0,ip:port,url,status_code,content_length,title
﻿127.0.0.1:445,,,,,
127.0.0.1:135,,,,,
127.0.0.1:4222,,,,,
127.0.0.1:3443,127.0.0.1:3443,https://127.0.0.1:3443,200.0,10399.0,Acunetix
127.0.0.1:5040,,,,,
127.0.0.1:6942,,,,,
127.0.0.1:7880,127.0.0.1:7880,https://127.0.0.1:7880,404.0,14.0,None
127.0.0.1:9800,127.0.0.1:9800,https://127.0.0.1:9800,426.0,0.0,None
127.0.0.1:35432,,,,,
127.0.0.1:49665,,,,,
127.0.0.1:49664,,,,,
127.0.0.1:49671,,,,,
127.0.0.1:49667,,,,,
127.0.0.1:49668,,,,,
127.0.0.1:49666,,,,,
127.0.0.1:63342,,,,,
